epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.344,0.91046,1.11516,0.95259,0.96831,0.70707,0.76118,0.66811,0.55363,0.77802,0.79534,0.00044,0.00044,0.00044
2,74.7813,0.64426,0.62985,0.9349,0.99306,0.66667,0.7116,0.64672,0.49451,0.62712,0.79209,0.00088515,0.00088515,0.00088515
3,111.644,0.59347,0.49986,0.8682,0.97178,0.69581,0.70012,0.63675,0.51034,0.62797,0.79601,0.00131512,0.00131512,0.00131512
4,148.029,0.59067,0.55649,0.88603,0.9971,0.66667,0.70207,0.62719,0.53362,0.62953,0.80221,0.00172991,0.00172991,0.00172991
5,181.629,0.58444,0.52022,0.84639,0.99806,0.66667,0.69808,0.61768,0.58885,0.54075,0.81024,0.001868,0.001868,0.001868
6,240.405,0.58339,0.50679,0.86219,0.99816,0.66667,0.69369,0.60272,0.63226,0.57689,0.81572,0.001835,0.001835,0.001835
7,286.01,0.56037,0.45981,0.83871,0.99808,0.66667,0.68818,0.60802,0.56478,0.53126,0.79981,0.001802,0.001802,0.001802
8,318.384,0.55078,0.47401,0.85213,0.99737,0.66667,0.68209,0.61529,0.5824,0.58535,0.80143,0.001769,0.001769,0.001769
9,366.616,0.56265,0.47938,0.85,0.99745,0.66667,0.68474,0.60958,0.59409,0.57776,0.80669,0.001736,0.001736,0.001736
10,419.024,0.55946,0.47777,0.87407,0.9953,0.66667,0.69498,0.61182,0.57011,0.61535,0.80268,0.001703,0.001703,0.001703
11,457.104,0.52844,0.44703,0.86873,0.99695,0.66667,0.69725,0.62344,0.56532,0.56121,0.80165,0.00167,0.00167,0.00167
12,486.897,0.53563,0.46097,0.87448,0.99712,0.66667,0.68573,0.62362,0.57323,0.57608,0.80229,0.001637,0.001637,0.001637
13,514.038,0.52107,0.41855,0.84189,0.99754,0.66667,0.68877,0.62097,0.58375,0.65372,0.80339,0.001604,0.001604,0.001604
14,540.128,0.54097,0.4464,0.86107,0.99794,0.66667,0.69085,0.61936,0.58622,0.56153,0.80585,0.001571,0.001571,0.001571
15,566.562,0.52471,0.44521,0.86146,0.9979,0.66667,0.68164,0.61179,0.59801,0.54805,0.81001,0.001538,0.001538,0.001538
16,593.161,0.50023,0.42163,0.82689,0.99753,0.66667,0.67849,0.62015,0.55609,0.57514,0.7956,0.001505,0.001505,0.001505
17,622.959,0.50377,0.42729,0.85282,0.99651,0.66667,0.67469,0.60725,0.53283,0.56585,0.79124,0.001472,0.001472,0.001472
18,649.28,0.46202,0.37358,0.81382,0.99318,0.66667,0.67946,0.62735,0.52751,0.57057,0.79274,0.001439,0.001439,0.001439
19,675.834,0.50987,0.44019,0.86876,0.9931,0.66667,0.69473,0.62991,0.51637,0.5727,0.78905,0.001406,0.001406,0.001406
20,705.48,0.48708,0.39206,0.8269,0.99255,0.66667,0.69426,0.62369,0.56119,0.5365,0.79794,0.001373,0.001373,0.001373
21,731.647,0.48429,0.39537,0.83231,0.99242,0.66667,0.69695,0.63619,0.49944,0.51634,0.78873,0.00134,0.00134,0.00134
22,758.074,0.45538,0.38313,0.8233,0.99292,0.66667,0.69585,0.62915,0.52777,0.54718,0.79014,0.001307,0.001307,0.001307
23,784.763,0.42604,0.35955,0.80332,0.993,0.66667,0.69717,0.63288,0.50792,0.49014,0.78883,0.001274,0.001274,0.001274
24,813.266,0.44501,0.37847,0.83601,0.99495,0.66667,0.6932,0.63251,0.54382,0.42947,0.79086,0.001241,0.001241,0.001241
