epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3794,0.91556,3.32607,0.9675,0.00343,0.68687,0.3182,0.2354,0.76064,3.75256,0.80927,0.00044,0.00044,0.00044
2,80.564,0.68997,1.85028,0.87725,0.04329,0.29293,0.01951,0.01562,0.77909,3.63147,0.81422,0.0007218,0.0007218,0.0007218
3,128.849,0.7434,1.54529,0.87706,0.00508,0.60606,0.02009,0.01758,0.70159,3.65305,0.81932,0.00082144,0.00082144,0.00082144
4,176.299,0.67943,1.29615,0.87953,1,0.46689,0.62013,0.49232,0.75022,2.74616,0.82561,0.00073892,0.00073892,0.00073892
5,221.214,0.67021,1.31528,0.86203,0.98457,0.64472,0.66346,0.55218,0.71656,2.00839,0.81655,0.000416,0.000416,0.000416
