epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1321.59,0.4016,0.33431,0.83293,0.99833,0.66667,0.68661,0.6361,0.52823,0.62526,0.79898,0.000581,0.000581,0.000581
45,1348.36,0.3828,0.32962,0.82064,0.99844,0.66667,0.68678,0.6227,0.53678,0.62794,0.79643,0.000548,0.000548,0.000548
46,1376.86,0.39705,0.31476,0.81856,0.9984,0.66667,0.69035,0.62487,0.54506,0.68567,0.79651,0.000515,0.000515,0.000515
47,1407.1,0.38905,0.33572,0.82299,0.99836,0.66667,0.69295,0.63638,0.5361,0.70277,0.79493,0.000482,0.000482,0.000482
48,1440.82,0.36708,0.32189,0.81403,0.99815,0.66667,0.68992,0.63578,0.51727,0.70435,0.79196,0.000449,0.000449,0.000449
49,1479.78,0.36085,0.29175,0.7903,0.99763,0.66667,0.68861,0.62932,0.5128,0.67326,0.78851,0.000416,0.000416,0.000416
50,1510.88,0.37553,0.30268,0.82312,0.99678,0.66667,0.68704,0.63269,0.5114,0.65607,0.7876,0.000383,0.000383,0.000383
51,1542.9,0.33873,0.29112,0.78735,0.99476,0.66667,0.68559,0.62667,0.50068,0.64749,0.78737,0.00035,0.00035,0.00035
52,1571.46,0.32121,0.28054,0.7843,0.99537,0.66667,0.68822,0.64182,0.50018,0.64399,0.78775,0.000317,0.000317,0.000317
53,1599.8,0.30475,0.2689,0.78281,0.99683,0.66667,0.69188,0.63191,0.51975,0.62695,0.78981,0.000284,0.000284,0.000284
54,1633.46,0.31929,0.27804,0.77877,0.99719,0.66667,0.69564,0.63785,0.51091,0.62686,0.79042,0.000251,0.000251,0.000251
55,1664.8,0.30484,0.27038,0.79743,0.99722,0.66667,0.70142,0.64407,0.48973,0.62908,0.78824,0.000218,0.000218,0.000218
56,1699.78,0.30459,0.26571,0.79187,0.99751,0.66667,0.70201,0.65176,0.48357,0.63641,0.78826,0.000185,0.000185,0.000185
57,1743.91,0.30238,0.26183,0.79009,0.99787,0.66667,0.69951,0.64858,0.48488,0.62301,0.78751,0.000152,0.000152,0.000152
58,1789.74,0.2949,0.26091,0.77912,0.99804,0.66667,0.69522,0.64787,0.48406,0.60809,0.78574,0.000119,0.000119,0.000119
59,1840.5,0.30466,0.26668,0.79285,0.99815,0.66667,0.6938,0.65111,0.48322,0.60015,0.78533,8.6e-05,8.6e-05,8.6e-05
60,1886.38,0.30135,0.26636,0.79881,0.99807,0.66667,0.69305,0.64889,0.4806,0.58585,0.78455,5.3e-05,5.3e-05,5.3e-05
